position	x	n	folded
18019957	7	36	1
18020616	1	36	1
18022066	27	39	1
18025612	17	28	1
18025633	24	36	1
18027377	29	39	1
18027554	32	43	1
18031533	4	35	1
18033499	6	37	1
18038560	19	35	1
18040004	3	42	1
18042035	4	36	1
18043943	19	33	1
18044374	35	40	1
18046287	27	37	1
18047393	28	29	1
18049872	2	19	1
18051732	1	36	1
18052645	29	34	1
18052841	1	28	1
18059492	9	37	1
18060436	4	19	1
18064282	1	21	1
18073505	5	30	1
18074342	10	38	1
18074702	4	27	1
18084290	8	36	1
18085107	17	23	1
18085290	8	39	1
18086999	13	34	1
18090201	13	31	1
18092615	20	37	1
18094337	8	16	1
18097676	2	13	1
18098553	1	34	1
18099283	11	21	1
18103065	16	35	1
18105498	7	17	1
18108448	19	39	1
18119478	28	34	1
18119601	5	42	1
18122009	8	14	1
18122084	4	35	1
18123332	2	35	1
18123443	2	31	1
18123957	8	38	1
18124527	9	33	1
18126067	2	14	1
18128532	2	26	1
18132601	6	17	1
18132765	23	37	1
18134877	1	6	1
18144934	1	35	1
18145098	24	37	1
18149510	22	40	1
18149566	15	27	1
18150298	25	39	1
18155405	9	31	1
18159342	2	36	1
18159495	13	37	1
18164285	12	30	1
18164508	1	38	1
18166092	5	18	1
18167022	2	30	1
18170886	2	34	1
18173124	2	27	1
18179816	2	30	1
18180387	3	39	1
18183424	7	28	1
18188667	3	12	1
18190225	22	38	1
18193604	3	25	1
18194560	7	10	1
18198983	3	37	1
18200862	21	31	1
18204907	6	8	1
18210508	9	32	1
18212230	2	19	1
18213211	4	34	1
18214760	9	35	1
18219827	8	32	1
18220786	9	17	1
18221883	16	37	1
18225521	3	27	1
18226095	2	12	1
18230535	16	35	1
18231349	16	38	1
18234542	8	27	1
18234691	3	22	1
18236459	23	38	1
18236681	10	27	1
18238662	1	9	1
18240000	5	29	1
18242304	2	31	1
18244086	6	34	1
18244707	17	31	1
18245365	14	33	1
18247287	3	35	1
18247811	3	10	1
18253743	6	17	1
18257021	16	40	1
18258305	6	35	1
18259243	27	37	1
18259463	5	36	1
18261837	18	38	1
18263784	14	26	1
18266431	6	29	1
18266455	6	22	1
18267300	8	10	1
18268281	8	40	1
18268405	2	17	1
18268968	8	29	1
18269948	9	36	1
18270627	8	37	1
18270883	5	32	1
18271363	12	34	1
18271748	25	29	1
18272751	13	23	1
18273842	19	23	1
18274898	21	38	1
18278257	2	4	1
18278422	9	37	1
18283863	5	30	1
18284924	2	12	1
18285258	4	36	1
18289233	1	29	1
18294352	21	32	1
18296010	2	39	1
18297688	8	33	1
18300253	1	38	1
18307682	25	39	1
18308709	1	28	1
18310117	15	38	1
18311069	8	22	1
18311140	4	26	1
18311872	1	35	1
18312084	10	33	1
18314621	8	28	1
18319021	7	22	1
18322825	7	16	1
18325257	1	41	1
18326099	6	37	1
18326306	19	36	1
18326623	5	21	1
18327209	33	39	1
18327313	19	36	1
18327378	19	39	1
18327643	21	36	1
18328408	2	32	1
18329048	25	32	1
18331462	3	37	1
18331592	1	39	1
18339748	2	37	1
18340663	23	24	1
18343025	8	39	1
18343106	4	29	1
18343551	9	41	1
18344219	3	33	1
18344694	3	40	1
18346165	20	31	1
18347187	24	33	1
18347420	25	35	1
18349764	27	39	1
18349821	32	33	1
18352458	2	4	1
18355150	18	30	1
18355580	6	33	1
18357388	3	32	1
18359436	1	43	1
18359580	6	31	1
18359901	24	32	1
18360161	1	32	1
18363520	3	37	1
18364893	8	34	1
18365385	7	35	1
18366795	1	6	1
18369645	21	31	1
18374725	24	33	1
18374940	5	34	1
18377790	21	31	1
18379379	3	26	1
18383312	3	34	1
18384583	2	39	1
18387310	1	36	1
18390374	3	33	1
18391974	10	39	1
18392112	6	27	1
18392608	1	38	1
18392752	5	17	1
18400980	2	38	1
18408139	26	29	1
18412381	24	25	1
18420144	1	32	1
18425601	19	20	1
18425983	31	35	1
18426428	1	37	1
18427031	12	13	1
18427615	17	18	1
18429575	7	37	1
18433355	17	30	1
18435748	7	29	1
18438239	16	20	1
18438351	35	37	1
18441078	11	23	1
18441488	3	35	1
18443992	15	26	1
18444514	16	21	1
18446545	2	39	1
18447551	24	38	1
18449524	9	32	1
18450321	13	30	1
18450595	18	36	1
18451900	17	23	1
18454964	3	28	1
18455424	5	8	1
18457568	8	24	1
18458372	1	37	1
18458855	6	29	1
18460469	2	6	1
18460526	11	30	1
18461490	6	37	1
18466721	2	26	1
18467024	6	32	1
18467153	20	33	1
18468093	27	30	1
18470009	5	27	1
18471278	10	37	1
18471650	5	26	1
18471737	4	38	1
18475200	3	33	1
18475260	1	34	1
18475427	25	37	1
18475441	4	37	1
18475498	23	33	1
18475523	4	30	1
18476187	2	35	1
18478269	6	32	1
18480012	1	40	1
18483129	6	31	1
18483918	2	40	1
18490061	7	39	1
18490269	16	41	1
18490433	1	6	1
18490595	8	24	1
18493076	5	36	1
18496159	5	31	1
18501662	26	38	1
18503402	7	36	1
18503419	3	38	1
18503705	19	26	1
18503814	18	36	1
18505230	8	22	1
18510033	14	30	1
18512328	37	40	1
18512983	3	38	1
18513477	3	18	1
18516703	5	16	1
18519369	7	26	1
18521689	12	37	1
18521755	6	37	1
18523331	14	38	1
18526148	13	30	1
18527267	18	32	1
18527951	5	40	1
18528026	17	37	1
18528848	6	31	1
18529747	18	36	1
18533281	29	30	1
18536355	30	34	1
18536498	1	40	1
18537774	12	37	1
18542099	13	35	1
18543784	14	39	1
18544840	22	39	1
18545932	6	18	1
18550409	12	27	1
18550683	1	37	1
18550837	15	37	1
18551905	19	36	1
18553678	6	23	1
18553789	2	32	1
18554711	16	38	1
18556739	1	25	1
18556959	10	29	1
18557204	13	26	1
18557745	4	42	1
18559122	1	37	1
18560459	3	29	1
18561377	4	34	1
18561590	2	33	1
18563449	31	37	1
18563592	4	29	1
18570206	33	34	1
18572901	34	36	1
18573022	22	27	1
18576713	16	34	1
18577136	2	26	1
18579038	5	13	1
18581074	12	38	1
18583212	4	34	1
18583411	7	36	1
18584074	7	39	1
18589352	6	36	1
18589620	13	39	1
18597429	1	37	1
18597664	2	30	1
18598093	3	38	1
18600434	3	41	1
18600473	3	42	1
18600824	4	37	1
18603783	3	38	1
18615392	21	25	1
18621986	3	36	1
18626917	2	11	1
18631142	12	28	1
18632368	15	38	1
18632801	20	35	1
18633683	20	28	1
18633940	12	32	1
18637260	32	33	1
18642916	12	32	1
18643247	4	9	1
18643577	12	29	1
18643632	28	34	1
18647861	11	32	1
18649579	9	30	1
18650794	21	24	1
18651234	13	38	1
18652669	1	33	1
18653919	20	39	1
18658227	11	34	1
18668339	2	9	1
18671500	8	35	1
18672774	10	39	1
18676961	6	23	1
18685202	10	28	1
18687609	12	41	1
18687883	9	18	1
18688947	23	33	1
18689252	8	35	1
18689957	11	39	1
18693245	24	38	1
18694036	8	31	1
18696215	20	31	1
18696728	1	38	1
18697023	5	8	1
18697149	1	4	1
18699444	17	33	1
18701361	8	28	1
18701899	1	35	1
18704862	14	32	1
18705500	14	33	1
18707373	1	34	1
18707467	15	31	1
18707991	1	41	1
18709741	12	40	1
18716278	5	14	1
18719844	6	15	1
18722713	17	39	1
18722846	14	37	1
18724101	8	22	1
18727384	27	35	1
18728581	7	34	1
18730305	30	38	1
18732980	17	34	1
18733117	27	33	1
18733958	13	36	1
18734604	27	32	1
18736393	1	28	1
18736474	36	41	1
18737233	11	34	1
18746371	14	31	1
18747095	13	35	1
18750431	14	34	1
18751864	12	29	1
18758343	25	36	1
18759377	17	32	1
18761893	1	9	1
18764191	5	8	1
18766761	18	41	1
18766813	12	38	1
18766850	22	26	1
18767081	22	33	1
18767738	16	36	1
18768011	1	22	1
18768277	11	38	1
18768843	3	39	1
18768967	16	38	1
18769575	9	23	1
18770054	1	34	1
18771110	2	38	1
18771365	2	37	1
18771567	4	25	1
18772971	2	26	1
18774783	20	36	1
18775366	1	33	1
18776939	1	21	1
18779848	1	36	1
18781288	4	35	1
18781486	25	32	1
18783321	9	15	1
18785466	10	32	1
18791334	9	25	1
18792300	2	41	1
18793520	24	32	1
18793636	13	31	1
18794881	4	41	1
18795255	6	39	1
18797703	6	31	1
18800911	24	36	1
18802825	25	33	1
18803022	24	37	1
18804144	20	34	1
18804386	10	16	1
18805328	14	33	1
18805564	17	34	1
18805678	17	40	1
18805698	4	37	1
18805718	1	39	1
18805844	23	40	1
18805988	6	39	1
18806137	8	25	1
18807117	1	36	1
18807137	21	32	1
18808292	32	38	1
18811121	1	25	1
18812176	10	22	1
18813026	2	16	1
18813445	1	6	1
18813746	5	22	1
18814565	21	36	1
18814596	19	39	1
18815334	21	36	1
18816616	2	29	1
18817181	14	32	1
18818701	1	37	1
18821416	25	30	1
18823903	8	29	1
18826710	1	26	1
18829672	15	17	1
18832255	33	40	1
18832314	32	38	1
18836431	2	32	1
18839126	12	39	1
18839394	5	35	1
18841755	12	39	1
18850054	1	10	1
18850444	21	35	1
18851113	2	5	1
18855616	1	33	1
18857492	1	23	1
18861128	10	19	1
18863502	11	40	1
18876408	16	25	1
18881980	11	21	1
18882489	1	41	1
18883047	1	37	1
18889536	10	22	1
18891233	1	35	1
18891352	16	26	1
18892063	15	25	1
18893592	13	32	1
18893708	23	34	1
18893763	24	37	1
18893768	24	37	1
18894432	18	34	1
18895806	20	41	1
18900829	17	33	1
18903902	16	20	1
18904033	10	15	1
18904707	1	35	1
18906195	8	14	1
18911504	12	35	1
18913558	11	37	1
18914423	2	8	1
18920364	15	45	1
18920685	11	35	1
18924046	17	30	1
18926135	13	39	1
18926167	13	40	1
18928470	10	36	1
18929356	12	25	1
18929842	10	39	1
18940380	4	5	1
18945536	11	39	1
18952112	9	17	1
18954055	20	28	1
18956458	18	32	1
18962095	21	33	1
18965360	23	38	1
18966007	13	36	1
18974089	5	15	1
18975725	6	24	1
18976489	10	37	1
18979320	15	25	1
18979874	9	19	1
18980399	9	31	1
18987883	19	33	1
18990251	1	32	1
18990793	22	33	1
18994150	10	24	1
18995326	2	41	1
18999794	17	42	1
18999831	20	35	1
19003593	1	41	1
19006152	31	36	1
19007705	5	16	1
19012781	26	28	1
19017855	11	19	1
19018405	2	28	1
19019641	1	34	1
19021373	3	40	1
19021544	3	34	1
19025822	15	36	1
19029546	5	14	1
19035393	23	39	1
19044877	13	29	1
19046485	19	35	1
19049615	2	19	1
19049754	1	17	1
19049946	18	39	1
19050030	2	36	1
19056382	9	41	1
19057730	9	36	1
19058745	1	37	1
19059471	4	15	1
19059839	3	16	1
19072926	11	20	1
19075898	1	27	1
19077825	1	29	1
19080506	15	30	1
19080878	8	34	1
19087695	2	9	1
19087765	5	14	1
19087996	7	25	1
19091695	1	30	1
19093763	8	37	1
19094738	6	31	1
19095101	15	33	1
19095746	10	32	1
19096297	10	40	1
19097389	6	30	1
19097898	10	38	1
19100057	35	37	1
19100178	2	21	1
19100436	4	18	1
19102509	21	36	1
19106254	5	38	1
19109183	9	37	1
19111725	18	36	1
19119606	21	25	1
19119851	5	36	1
19119910	17	41	1
19122151	28	31	1
19123033	1	24	1
19124368	2	6	1
19125784	19	31	1
19126199	30	36	1
19131080	2	17	1
19131775	5	22	1
19133072	1	23	1
19133990	7	36	1
19134143	16	17	1
19134260	14	35	1
19136610	3	42	1
19138115	30	37	1
19138295	25	31	1
19139517	18	38	1
19142952	27	36	1
19142961	3	39	1
19143602	5	38	1
19145251	7	40	1
19147846	19	32	1
19150315	9	35	1
19153969	25	33	1
19155969	11	23	1
19156866	8	23	1
19158316	3	31	1
19159657	30	37	1
19160160	23	27	1
19160236	11	29	1
19160523	11	29	1
19163567	7	31	1
19163656	10	30	1
19165346	4	37	1
19167371	5	34	1
19169588	2	9	1
19170078	12	33	1
19170946	36	39	1
19171686	1	31	1
19172486	16	30	1
19174933	12	35	1
19177540	23	40	1
19179824	9	30	1
19180013	9	29	1
19180379	2	35	1
19187131	20	37	1
19187941	18	30	1
19200356	20	37	1
19202507	27	37	1
19203227	11	33	1
19203375	4	16	1
19205144	1	36	1
19206027	3	35	1
19206334	12	25	1
19215418	9	25	1
19224486	1	32	1
19235517	3	38	1
19241848	1	12	1
19255671	1	9	1
19255754	9	41	1
19258801	2	7	1
19261241	4	15	1
19274525	28	31	1
19274905	27	30	1
19280383	26	36	1
19284564	18	32	1
19286639	13	27	1
19287138	3	33	1
19289284	12	21	1
19289368	23	37	1
19289794	18	35	1
19290285	2	35	1
19290291	3	33	1
19293249	2	35	1
19293290	14	32	1
19301116	17	28	1
19304466	4	25	1
19304640	8	14	1
19304953	15	33	1
19305638	13	31	1
19318275	20	33	1
19319245	24	40	1
19320779	10	41	1
19321462	19	33	1
19321804	7	36	1
19322851	14	35	1
19326771	6	41	1
19326813	7	39	1
19327310	3	7	1
19328460	5	28	1
19331408	4	18	1
19331465	14	33	1
19332076	7	40	1
19332725	3	38	1
19334299	16	33	1
19334739	16	37	1
19335792	18	41	1
19339622	2	37	1
19343296	6	38	1
19343879	1	5	1
19344465	1	31	1
19344501	5	36	1
19344573	4	39	1
19344586	34	36	1
19349281	4	11	1
19354505	14	22	1
19355183	3	37	1
19364815	1	35	1
19365346	21	33	1
19373605	21	37	1
19376017	28	43	1
19378508	1	32	1
19382691	10	11	1
19386358	1	37	1
19386436	21	32	1
19386585	12	36	1
19391177	3	28	1
19393150	19	31	1
19394805	1	37	1
19401405	18	37	1
19402390	19	28	1
19408650	2	32	1
19411129	21	29	1
19411444	17	21	1
19413420	25	31	1
19414814	27	39	1
19416779	1	36	1
19424960	17	28	1
19428929	21	33	1
19431732	1	37	1
19435432	26	38	1
19437185	8	39	1
19437860	18	34	1
19437923	17	35	1
19441212	25	32	1
19448326	13	15	1
19450334	5	33	1
19457257	12	14	1
19480939	13	32	1
19482448	19	32	1
19487656	15	30	1
19488839	27	35	1
19489275	9	16	1
19492707	20	36	1
19504300	6	17	1
19507999	21	35	1
19510394	27	33	1
19516501	1	22	1
19519782	19	37	1
19528985	10	19	1
19529204	15	24	1
19531534	7	37	1
19533303	21	39	1
19540528	1	33	1
19540663	1	12	1
19542931	4	7	1
19549759	5	11	1
19559306	1	34	1
19559729	3	39	1
19565338	1	32	1
19566296	14	35	1
19568972	16	33	1
19571146	1	22	1
19576035	6	35	1
19579969	5	37	1
19581226	5	31	1
19584004	4	36	1
19586015	10	28	1
19588406	6	39	1
19590043	8	10	1
19616268	24	31	1
19627876	9	12	1
19638309	20	33	1
19639995	5	39	1
19642326	8	32	1
19642700	3	27	1
19645673	1	13	1
19650220	1	38	1
19651385	7	38	1
19659349	4	30	1
19666599	4	30	1
19666928	7	39	1
19667552	4	37	1
19672376	3	17	1
19674070	8	30	1
19674266	8	36	1
19674320	3	34	1
19679556	5	33	1
19679873	21	30	1
19680119	10	35	1
19680532	6	37	1
19680558	9	37	1
19681273	1	17	1
19681393	2	17	1
19684540	10	30	1
19686023	16	37	1
19686937	17	38	1
19687736	10	38	1
19690758	14	36	1
19691754	19	39	1
19698546	10	18	1
19698824	24	40	1
19708363	15	39	1
19710002	9	23	1
19710682	1	32	1
19713004	29	39	1
19715311	28	38	1
19718824	14	38	1
19724079	7	35	1
19724835	6	31	1
19725033	17	27	1
19727145	14	18	1
19727896	21	42	1
19730346	12	15	1
19731873	5	30	1
19733320	7	38	1
19733680	1	38	1
19735885	10	39	1
19738190	7	31	1
19738518	15	38	1
19740421	2	21	1
19747496	31	32	1
19749894	21	32	1
19753338	4	25	1
19754993	4	25	1
19755030	13	16	1
19755256	18	31	1
19755388	19	36	1
19757646	11	34	1
19757737	33	36	1
19759835	5	25	1
19762466	8	34	1
19764032	4	31	1
19765518	15	28	1
19765639	3	30	1
19768571	19	38	1
19768954	4	15	1
19769020	1	22	1
19770968	14	32	1
19774582	7	26	1
19774715	7	32	1
19775113	7	29	1
19775246	9	31	1
19775492	8	37	1
19775811	24	35	1
19778323	8	39	1
19783939	12	21	1
19784190	1	37	1
19785334	26	36	1
19792089	6	34	1
19792527	6	34	1
19792562	16	37	1
19794187	28	35	1
19795851	5	10	1
19795951	12	29	1
19796142	6	31	1
19797248	1	3	1
19797740	10	32	1
19806031	13	29	1
19809171	7	30	1
19809758	8	30	1
19821369	6	12	1
19822388	7	41	1
19826203	7	32	1
19827780	5	19	1
19832437	2	28	1
19837537	3	38	1
19837558	13	43	1
19837932	4	24	1
19841174	2	19	1
19843354	6	21	1
19843401	5	39	1
19849656	10	31	1
19851031	23	36	1
19859123	15	17	1
19861106	1	2	1
19862411	2	39	1
19876025	18	32	1
19876438	24	35	1
19882170	16	18	1
19889168	4	10	1
19897768	3	37	1
19901804	4	34	1
19906378	3	27	1
19908708	3	33	1
19927553	1	21	1
19928246	3	32	1
19932633	34	35	1
19939895	3	24	1
19945189	11	38	1
19947973	12	39	1
19951535	4	40	1
19954014	4	29	1
19956246	2	12	1
19963047	2	3	1
19973358	9	37	1
19973564	14	22	1
19974669	27	30	1
19981791	20	37	1
19987294	10	19	1
19993485	33	34	1
19995491	7	26	1
19996193	34	36	1
19996232	6	32	1
19999645	31	34	1
20006584	31	34	1
20008880	29	35	1
20014523	3	18	1
20015655	13	41	1
20017295	3	33	1
20017721	13	29	1
20017738	20	33	1
20017831	8	28	1
20018091	12	26	1
20018195	7	37	1
20020466	27	30	1
20025383	8	13	1
20026572	21	39	1
20026758	8	13	1
20027049	26	33	1
20036890	12	37	1
20037489	9	40	1
20039820	27	31	1
20041054	23	27	1
20041973	1	22	1
20049085	20	25	1
20050859	4	34	1
20052348	5	36	1
20052373	12	39	1
20052571	4	32	1
20053363	1	16	1
20056558	2	31	1
20056631	17	44	1
20056759	15	33	1
20057205	1	36	1
20058237	5	33	1
20064575	3	25	1
20068594	8	43	1
20080310	9	33	1
20081036	9	33	1
20087406	4	32	1
20089905	5	33	1
20090064	3	22	1
20090156	3	33	1
20091791	6	39	1
20096176	10	32	1
20097370	1	27	1
20097941	4	37	1
20099109	8	36	1
20109839	1	37	1
20110436	3	39	1
20117992	34	36	1
20135583	8	42	1
20135612	7	37	1
20138436	15	16	1
20140036	3	28	1
20141920	11	24	1
20142270	18	35	1
20142681	12	26	1
20142866	3	6	1
20143206	2	24	1
20144332	20	26	1
20148249	13	17	1
20149560	4	29	1
20150998	5	17	1
20151431	6	27	1
20155678	2	13	1
20158241	6	35	1
20163868	10	15	1
20171860	10	33	1
20171884	31	34	1
20173263	13	37	1
20181167	15	38	1
20183342	11	35	1
20185591	9	33	1
20186581	5	8	1
20188458	11	20	1
20188656	14	34	1
20191436	14	26	1
20193622	1	35	1
20200990	18	37	1
20202289	2	3	1
20202506	3	9	1
20209469	25	39	1
20211233	4	19	1
20211670	11	36	1
20211792	1	21	1
20212747	6	16	1
20213965	14	36	1
20214692	1	41	1
20233086	2	37	1
20236731	2	19	1
20238343	14	27	1
20238466	3	28	1
20243147	4	9	1
20244408	11	32	1
20248709	6	33	1
20249510	3	32	1
20249606	5	34	1
20250730	16	35	1
20257846	31	33	1
20258473	20	22	1
20260536	26	34	1
20262931	29	31	1
20263843	2	40	1
20266735	1	34	1
20268188	1	36	1
20278924	3	28	1
20279405	22	33	1
20281969	34	40	1
20283943	2	41	1
20286121	6	30	1
20286563	18	30	1
20287919	3	19	1
20287981	25	26	1
20290088	1	9	1
20292378	7	33	1
20293560	6	35	1
20293791	10	28	1
20296319	6	41	1
20297111	26	35	1
20304926	8	14	1
20305887	9	37	1
20307444	1	41	1
20316055	4	38	1
20334629	9	39	1
20338267	1	3	1
20342503	1	7	1
20355218	1	13	1
20369787	10	18	1
20380145	4	16	1
20382144	27	37	1
20386066	3	20	1
20389400	15	39	1
20390322	24	34	1
20392425	8	29	1
20392941	20	28	1
20395401	31	37	1
20395868	26	27	1
20398312	19	22	1
20402686	8	18	1
20402767	18	27	1
20408181	7	37	1
20409374	22	31	1
20414239	14	26	1
20426906	2	36	1
20427541	27	34	1
20429861	30	31	1
20431299	1	29	1
20437764	8	28	1
20441633	12	32	1
20442054	7	18	1
20444473	2	22	1
20451281	3	35	1
20455220	1	34	1
20464891	6	32	1
20470148	2	34	1
20473179	1	29	1
20477168	1	30	1
20487743	7	22	1
20490518	4	16	1
20493870	12	39	1
20498664	3	33	1
20498914	1	19	1
20499033	6	30	1
20499168	9	39	1
20499942	8	37	1
20500591	1	14	1
20501442	4	33	1
20501582	2	33	1
20501974	4	42	1
20517965	3	32	1
20519808	9	35	1
20520732	4	16	1
20525890	3	35	1
20526070	5	39	1
20526785	2	38	1
20530208	11	35	1
20530347	2	27	1
20541370	36	39	1
20542393	28	32	1
20544835	24	28	1
20551745	22	27	1
20556029	1	36	1
20556762	1	21	1
20557542	4	20	1
20562389	4	18	1
20568807	11	38	1
20572638	6	20	1
20572894	11	36	1
20576256	6	18	1
20576777	2	15	1
20580487	4	32	1
20582418	7	33	1
20582685	4	16	1
20583322	5	16	1
20585364	6	37	1
20585432	6	28	1
20591780	9	30	1
20592340	12	36	1
20592875	9	37	1
20599382	7	30	1
20601060	3	20	1
20602235	13	40	1
20602561	4	24	1
20604959	6	35	1
20605151	4	18	1
20607376	2	8	1
20608200	13	32	1
20613508	13	34	1
20615095	11	31	1
20620175	1	35	1
20620323	18	36	1
20621764	19	40	1
20623631	2	33	1
20624063	2	33	1
20625054	12	20	1
20627436	1	30	1
20632407	1	43	1
20633346	1	40	1
20635722	3	42	1
20636038	17	28	1
20637374	15	24	1
20652798	7	26	1
20656824	12	41	1
20657352	14	38	1
20660452	5	27	1
20662938	11	41	1
20667005	6	15	1
20680718	6	36	1
20680760	8	38	1
20682330	16	29	1
20683946	10	35	1
20686162	18	28	1
20687285	1	33	1
20695831	26	34	1
20703026	16	34	1
20705117	3	41	1
20710543	33	40	1
20715869	1	29	1
20717539	10	39	1
20717657	1	38	1
20717763	33	37	1
20726556	1	41	1
20726885	6	33	1
20728516	9	33	1
20729212	1	40	1
20731117	6	12	1
20732082	21	36	1
20735465	18	27	1
20735869	32	33	1
20739723	15	32	1
20740016	12	35	1
20741347	12	39	1
20745485	34	37	1
20750561	5	13	1
20756045	7	33	1
20759403	14	26	1
20762197	12	37	1
20766279	1	5	1
20767524	10	27	1
20769184	17	40	1
20769658	11	38	1
20770061	4	14	1
20770887	13	30	1
20771987	1	26	1
20772487	4	37	1
20772817	22	41	1
20773115	12	42	1
20773962	2	37	1
20775350	17	35	1
20776345	28	30	1
20785310	7	22	1
20785783	10	35	1
20789633	15	35	1
20792099	3	14	1
20793015	12	34	1
20798595	10	33	1
20798808	7	22	1
20804065	21	32	1
20813488	16	26	1
20818935	15	28	1
20821965	2	37	1
20830127	1	33	1
20837541	1	34	1
20837857	4	37	1
20838873	1	28	1
20849079	16	39	1
20856845	1	34	1
20857187	1	32	1
20857630	2	30	1
20859827	9	28	1
20860671	11	32	1
20865703	6	10	1
20866735	12	33	1
20868839	9	35	1
20869172	9	32	1
20870524	13	39	1
20872901	6	23	1
20877812	1	44	1
20883203	2	39	1
20883422	15	32	1
20883816	37	38	1
20884833	1	36	1
20892784	13	35	1
20893965	19	38	1
20898650	17	38	1
20899016	14	27	1
20899066	9	34	1
20901000	13	28	1
20902195	16	37	1
20902244	15	33	1
20904743	15	37	1
20915701	8	18	1
20917206	19	35	1
20918089	16	36	1
20920496	11	34	1
20926957	14	31	1
20930035	37	42	1
20930228	18	36	1
20933592	6	24	1
20933596	10	27	1
20934796	3	37	1
20936248	14	33	1
20941052	4	33	1
20943195	17	42	1
20945055	12	33	1
20945520	18	30	1
20945644	33	38	1
20945686	32	36	1
20946756	19	22	1
20957431	14	28	1
20959421	5	38	1
20965375	20	34	1
20965442	4	35	1
20965771	2	36	1
20965942	12	36	1
20970595	1	33	1
20974802	12	35	1
20977000	1	35	1
20980880	4	37	1
20980922	15	35	1
20982631	4	36	1
20984254	2	33	1
20986078	1	39	1
20993162	4	36	1
20995067	4	34	1
21002613	8	10	1
21009586	14	20	1
21011182	1	34	1
21012097	1	31	1
21015685	2	24	1
21018485	15	38	1
21020128	1	32	1
21020868	6	37	1
21022402	8	40	1
21024155	11	43	1
21035578	11	34	1
21036781	2	35	1
21043302	23	35	1
21046569	1	26	1
21052693	7	36	1
21054726	31	33	1
21060356	22	39	1
21069129	21	25	1
21071967	2	29	1
21072577	34	35	1
21087927	1	41	1
21087956	33	38	1
21091861	1	28	1
21097727	3	4	1
21097783	6	8	1
21100916	8	22	1
21102799	1	8	1
21124290	4	21	1
21126346	6	39	1
21152384	21	36	1
21155195	3	35	1
21156667	5	32	1
21167177	5	23	1
21186608	1	13	1
21203898	3	19	1
21209769	5	37	1
21211235	4	40	1
21214735	6	29	1
21220375	7	36	1
21221497	1	5	1
21234923	7	10	1
21249603	34	36	1
21274671	2	26	1
21276854	31	36	1
21316782	1	36	1
21337313	1	37	1
21337322	36	37	1
21364183	7	27	1
21375904	6	11	1
21395133	3	35	1
21400218	22	28	1
21492531	2	37	1
21493585	3	34	1
21505931	12	15	1
21507888	17	35	1
21534237	13	17	1
21544601	4	11	1
21544735	2	30	1
21548068	1	25	1
21551341	3	31	1
21558490	7	12	1
21559941	1	40	1
21571601	17	36	1
21573855	1	41	1
21575045	16	20	1
21576796	8	34	1
21577203	26	34	1
21581021	17	33	1
21581765	3	40	1
21581979	19	36	1
21583311	24	25	1
21583925	13	30	1
21583973	15	24	1
21584585	30	32	1
21587849	20	38	1
21588116	12	18	1
21588278	5	30	1
21590754	25	27	1
21592392	25	36	1
21593117	17	21	1
21593773	6	8	1
21594962	2	35	1
21598160	7	31	1
21600677	1	35	1
21605441	1	32	1
21606783	1	17	1
21614970	1	19	1
21617245	2	35	1
21622403	3	42	1
21625145	6	27	1
21628927	10	37	1
21629094	18	37	1
21631663	2	41	1
21632470	2	32	1
21635416	10	28	1
21639167	14	25	1
21639935	11	35	1
21641522	5	30	1
21646997	7	21	1
21648615	15	41	1
21649908	1	27	1
21652177	1	32	1
21656500	2	37	1
21657162	12	35	1
21669790	4	25	1
21674005	14	34	1
21681636	1	37	1
21682434	30	31	1
21685445	1	42	1
21687261	4	8	1
21688141	27	38	1
21688419	2	5	1
21705378	2	38	1
21711731	1	30	1
21727483	30	33	1
21766453	13	19	1
21770035	1	17	1
21780651	12	29	1
21785229	23	31	1
21786068	8	33	1
21795388	12	37	1
21796616	13	17	1
21805048	20	33	1
21815660	13	35	1
21820990	10	40	1
21821005	14	38	1
21821757	8	28	1
21821880	31	42	1
21822360	2	32	1
21823292	3	16	1
21823629	28	36	1
21824108	7	31	1
21826566	2	28	1
21830659	8	36	1
21837755	8	35	1
21839690	2	39	1
21840129	3	29	1
21840498	11	16	1
21840886	5	31	1
21842892	1	38	1
21844297	7	27	1
21847548	3	33	1
21851312	2	36	1
21851462	1	34	1
21852078	3	34	1
21859210	8	39	1
21859450	1	37	1
21859507	2	19	1
21861656	1	23	1
21862625	2	31	1
21863000	10	21	1
21863691	4	29	1
21863956	10	26	1
21864206	5	41	1
21866829	5	39	1
21868159	3	12	1
21869773	2	17	1
21873204	1	36	1
21875390	3	31	1
21875916	2	36	1
21877074	5	6	1
21882820	26	41	1
21889340	6	41	1
21889381	1	37	1
21889506	10	30	1
21889635	29	41	1
21890314	1	33	1
21890386	2	5	1
21892479	2	39	1
21894307	1	40	1
21894735	3	36	1
21894816	2	20	1
21896767	9	33	1
21899491	7	21	1
21900420	14	33	1
21900583	2	16	1
21901457	17	19	1
21902950	5	30	1
21904374	19	37	1
21904529	5	41	1
21907604	27	37	1
21910649	28	35	1
21910890	12	27	1
21914362	10	36	1
21917234	1	29	1
21921058	36	38	1
21921736	6	34	1
21922132	16	35	1
21925603	3	31	1
21926498	2	4	1
21927848	8	32	1
21933193	24	25	1
21935467	7	30	1
21935705	6	29	1
21938375	7	24	1
21942957	2	26	1
21942971	9	34	1
21943136	20	35	1
21944169	1	34	1
21946396	14	35	1
21947720	1	37	1
